,,Curriculum,,Normal,
9674,,0.018,,0.076,0.076
9675,,0.001,,0,0
9676,,0,,0.002,0.002
9677,,0,,0.001,0.001
9678,,0.015,,0.005,0.005
9679,,0,,0,0
9680,,0,0.054,0.005,0.005
9681,,0.002,,0.003,0.003
9682,,0.002,,0,0
9683,,0.001,,0.002,0.002
9684,,0,,0.001,0.001
9685,,0,,0.042,0.042
9686,,0.03,,0,0
9687,,0.002,,0.001,0.001
9688,,0.01,,0.002,0.002
9689,,0.001,,0,0
9690,,0.001,,0.004,0.004
9691,,0.002,,0.003,0.003
9692,,0,,0,0
9693,,0,,0,0
9694,,0.007,,0.003,0.003
9695,,0,,0.032,0.032
9696,,0.002,,0,0
9697,,0.001,,0.005,0.005
9698,,0.002,,0,0
9699,,0.013,,0,0
9700,,0.003,0.079,0.03,0.03
9701,,0.004,,0,0
9702,,0,,0.023,0.023
9703,,0,,0,0
9704,,0.001,,0.003,0.003
9705,,0.002,,0,0
9706,,0.027,,0.028,0.028
9707,,0,,0,0
9708,,0.001,,0.317,0.317
9709,,0.014,,0,0
9710,,0.002,,0,0
9711,,0.009,,0,0
9712,,0.002,,0,0
9713,,0.002,,0,0
9714,,0.001,,0.03,0.03
9715,,0,,0.034,0.034
9716,,0,,0,0
9717,,0.012,,0.001,0.001
9718,,0,,0,0
9719,,0,,0.001,0.001
9720,,0.001,0.078,0.049,0.049
9721,,0,,0.03,0.03
9722,,0,,0.003,0.003
9723,,0.001,,0.001,0.001
9724,,0.005,,0.005,0.005
9725,,0.004,,0.144,0.144
9726,,0.003,,0,0
9727,,0,,0.001,0.001
9728,,0.004,,0.001,0.001
9729,,0.019,,0,0
9730,,0.001,,0.011,0.011
9731,,0.001,,0.01,0.01
9732,,0.001,,0,0
9733,,0.001,,0,0
9734,,0,,0.001,0.001
9735,,0.003,,0.001,0.001
9736,,0.004,,0.003,0.003
9737,,0.002,,0.181,0.181
9738,,0,,0.007,0.007
9739,,0,,0.003,0.003
9740,,0.001,0.05,0.001,0.001
9741,,0.001,,0.015,0.015
9742,,0,,0.005,0.005
9743,,0,,0.001,0.001
9744,,0.001,,0,0
9745,,0.018,,0,0
9746,,0,,0.021,0.021
9747,,0,,0.008,0.008
9748,,0,,0.005,0.005
9749,,0,,0,0
9750,,0.002,,0.006,0.006
9751,,0.009,,0,0
9752,,0,,0.002,0.002
9753,,0.001,,0.045,0.045
9754,,0.001,,0,0
9755,,0.001,,0.004,0.004
9756,,0.015,,0.008,0.008
9757,,0,,0.002,0.002
9758,,0.011,,0,0
9759,,0.003,,0.013,0.013
9760,,0.028,0.091,0,0
9761,,0.005,,0.008,0.008
9762,,0,,0,0
9763,,0,,0.001,0.001
9764,,0.004,,0,0
9765,,0.001,,0,0
9766,,0.001,,0.002,0.002
9767,,0,,0.002,0.002
9768,,0.013,,0.021,0.021
9769,,0,,0,0
9770,,0,,0.004,0.004
9771,,0.001,,0.001,0.001
9772,,0,,0.019,0.019
9773,,0.006,,0.001,0.001
9774,,0.006,,0.001,0.001
9775,,0,,0,0
9776,,0.004,,0.003,0.003
9777,,0.007,,0.004,0.004
9778,,0.004,,0.003,0.003
9779,,0,,0,0
9780,,0.005,0.057,0.006,0.006
9781,,0.044,,0.002,0.002
9782,,0,,0.008,0.008
9783,,0.003,,0.009,0.009
9784,,0.002,,0,0
9785,,0,,0,0
9786,,0.001,,0,0
9787,,0.018,,0.01,0.01
9788,,0.007,,0.02,0.02
9789,,0.004,,0.005,0.005
9790,,0,,0,0
9791,,0,,0,0
9792,,0,,0.063,0.063
9793,,0,,0,0
9794,,0.001,,0.001,0.001
9795,,0.012,,0,0
9796,,0.009,,0.098,0.098
9797,,0,,0.018,0.018
9798,,0.001,,0.004,0.004
9799,,0,,0.053,0.053
9800,,0.001,0.103,0.001,0.001
9801,,0,,0,0
9802,,0.014,,0,0
9803,,0.001,,0.006,0.006
9804,,0.007,,0.017,0.017
9805,,0,,0.001,0.001
9806,,0.001,,0,0
9807,,0.003,,0.018,0.018
9808,,0.05,,0,0
9809,,0,,0.001,0.001
9810,,0,,0.046,0.046
9811,,0.019,,0,0
9812,,0.007,,0,0
9813,,0,,0.004,0.004
9814,,0.005,,0,0
9815,,0,,0.006,0.006
9816,,0,,0.073,0.073
9817,,0.033,,0,0
9818,,0,,0.001,0.001
9819,,0.009,,0.002,0.002
9820,,0.001,0.15,0.287,0.287
9821,,0,,0.003,0.003
9822,,0.019,,0,0
9823,,0.016,,0.006,0.006
9824,,0.004,,0,0
9825,,0.001,,0.001,0.001
9826,,0.001,,0.001,0.001
9827,,0,,0.003,0.003
9828,,0.01,,0,0
9829,,0.001,,0.114,0.114
9830,,0.001,,0,0
9831,,0.016,,0.074,0.074
9832,,0,,0.001,0.001
9833,,0.012,,0.004,0.004
9834,,0.016,,0.005,0.005
9835,,0,,0,0
9836,,0.002,,0,0
9837,,0,,0,0
9838,,0.015,,0.002,0.002
9839,,0,,0.021,0.021
9840,,0.005,0.119,0.001,0.001
9841,,0.008,,0.008,0.008
9842,,0.027,,0.02,0.02
9843,,0.001,,0.004,0.004
9844,,0.003,,0.011,0.011
9845,,0,,0.018,0.018
9846,,0.02,,0.011,0.011
9847,,0,,0,0
9848,,0.013,,0.004,0.004
9849,,0.003,,0,0
9850,,0.001,,0.002,0.002
9851,,0,,0.023,0.023
9852,,0.001,,0.004,0.004
9853,,0.002,,0.011,0.011
9854,,0.007,,0,0
9855,,0.001,,0,0
9856,,0.001,,0,0
9857,,0,,0,0
9858,,0.004,,0,0
9859,,0,,0.067,0.067
9860,,0,0.092,0.094,0.094
9861,,0.007,,0,0
9862,,0,,0.005,0.005
9863,,0.001,,0.003,0.003
9864,,0.001,,0.001,0.001
9865,,0,,0.003,0.003
9866,,0.001,,0,0
9867,,0,,0.01,0.01
9868,,0,,0.004,0.004
9869,,0,,0,0
9870,,0.026,,0,0
9871,,0.004,,0,0
9872,,0,,0.001,0.001
9873,,0.002,,0.006,0.006
9874,,0,,0,0
9875,,0.007,,0,0
9876,,0,,0.001,0.001
9877,,0,,0.002,0.002
9878,,0.001,,0,0
9879,,0.004,,0,0
9880,,0.119,0.173,0,0
9881,,0.002,,0.156,0.156
9882,,0.001,,0,0
9883,,0.001,,0.001,0.001
9884,,0,,0,0
9885,,0,,0.002,0.002
9886,,0.004,,0.002,0.002
9887,,0.006,,0,0
9888,,0,,0.001,0.001
9889,,0,,0.001,0.001
9890,,0.002,,0.001,0.001
9891,,0,,0.005,0.005
9892,,0.002,,0.004,0.004
9893,,0.012,,0.004,0.004
9894,,0.008,,0.001,0.001
9895,,0.001,,0.162,0.162
9896,,0.008,,0.001,0.001
9897,,0.006,,0,0
9898,,0.001,,0.001,0.001
9899,,0.004,,0,0
9900,,0.001,0.059,0.001,0.001
9901,,0.069,,0,0
9902,,0.001,,0.01,0.01
9903,,0.052,,0.001,0.001
9904,,0.025,,0.002,0.002
9905,,0.001,,0,0
9906,,0.002,,0.003,0.003
9907,,0,,0.001,0.001
9908,,0.01,,0,0
9909,,0.002,,0.001,0.001
9910,,0.001,,0,0
9911,,0.023,,0.004,0.004
9912,,0.003,,0.008,0.008
9913,,0.001,,0.001,0.001
9914,,0,,0,0
9915,,0.002,,0.001,0.001
9916,,0,,0,0
9917,,0.001,,0.003,0.003
9918,,0.007,,0.001,0.001
9919,,0.002,,0.02,0.02
9920,,0.001,0.203,0.003,0.003
9921,,0.001,,0.006,0.006
9922,,0,,0.005,0.005
9923,,0.019,,0,0
9924,,0,,0.005,0.005
9925,,0.02,,0.003,0.003
9926,,0,,0.001,0.001
9927,,0,,0,0
9928,,0.005,,0,0
9929,,0.012,,0.002,0.002
9930,,0.005,,0.006,0.006
9931,,0.009,,0.001,0.001
9932,,0.001,,0.005,0.005
9933,,0,,0.01,0.01
9934,,0,,0.001,0.001
9935,,0.001,,0.037,0.037
9936,,0,,0,0
9937,,0,,0,0
9938,,0.007,,0,0
9939,,0,,0.001,0.001
9940,,0,0.08,0,0
9941,,0.001,,0.012,0.012
9942,,0.005,,0.012,0.012
9943,,0.002,,0,0
9944,,0.003,,0.002,0.002
9945,,0.016,,0.004,0.004
9946,,0.003,,0.005,0.005
9947,,0,,0.01,0.01
9948,,0.001,,0.002,0.002
9949,,0.009,,0,0
9950,,0.058,,0.002,0.002
9951,,0,,0.024,0.024
9952,,0.005,,0.002,0.002
9953,,0,,0.028,0.028
9954,,0,,0.025,0.025
9955,,0,,0,0
9956,,0.003,,0,0
9957,,0,,0.006,0.006
9958,,0.012,,0,0
9959,,0,,0,0
9960,,0.001,0.119,0,0
9961,,0.077,,0,0
9962,,0,,0.134,0.134
9963,,0,,0.146,0.146
9964,,0,,0.007,0.007
9965,,0.008,,0.001,0.001
9966,,0.001,,0.001,0.001
9967,,0,,0.002,0.002
9968,,0.001,,0,0
9969,,0.005,,0,0
9970,,0.003,,0.007,0.007
9971,,0.008,,0.009,0.009
9972,,0,,0.008,0.008
9973,,0,,0.001,0.001
9974,,0,,0,0
9975,,0.004,,0,0
9976,,0,,0.012,0.012
9977,,0.007,,0,0
9978,,0.003,,0,0
9979,,0,,0,0
9980,,0.002,0.119,0,0
9981,,0.002,,0.014,0.014
9982,,0,,0.001,0.001
9983,,0,,0,0
9984,,0,,0.001,0.001
9985,,0.001,,0,0
9986,,0,,0.039,0.039
9987,,0,,0.002,0.002
9988,,0.001,,0.004,0.004
9989,,0.01,,0,0
9990,,0,,0.1,0.1
9991,,0,,0,0
9992,,0,,0,0
9993,,0.002,,0.092,0.092
9994,,0.021,,0.001,0.001
9995,,0,,0.001,0.001
9996,,0.001,,0,0
9997,,0.003,,0.001,0.001
9998,,0.001,,0.003,0.003
9999,,0.003,,0,0
10000,,,0.045,0.004,0.004
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.014,0.014
,,,,0.052,0.052
,,,,0.002,0.002
,,,,12.082,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.006,0.006
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0.016,0.016
,,,,0.01,0.01
,,,0,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.004,0.004
,,,,0.005,0.005
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.019,0.019
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0.015,0.015
,,,,0.007,0.007
,,,,0.001,0.001
,,,0,0.001,0.001
,,,,0.018,0.018
,,,,0,0
,,,,0.001,0.001
,,,,0.009,0.009
,,,,0.003,0.003
,,,,0,0
,,,,0.001,0.001
,,,,0.011,0.011
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.013,0.013
,,,,0.001,0.001
,,,0,0.005,0.005
,,,,0.001,0.001
,,,,0,0
,,,,0.016,0.016
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.008,0.008
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0,0
,,,0,0.008,0.008
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0.011,0.011
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,0,0.001,0.001
,,,,0.003,0.003
,,,,0.002,0.002
,,,,0.005,0.005
,,,,0.007,0.007
,,,,0.004,0.004
,,,,0.001,0.001
,,,,0.007,0.007
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0.019,0.019
,,,0,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0.007,0.007
,,,,0.002,0.002
,,,,0,0
,,,,0.015,0.015
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,0,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.006,0.006
,,,,0,0
,,,,0.008,0.008
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0.001,0.001
,,,0,0.003,0.003
,,,,0.016,0.016
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0,0
,,,,0.004,0.004
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,0,0,0
,,,,0.006,0.006
,,,,0,0
,,,,0.004,0.004
,,,,0.007,0.007
,,,,0,0
,,,,0,0
,,,,0.009,0.009
,,,,0.011,0.011
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0.004,0.004
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,0,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,0,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.004,0.004
,,,,0,0
,,,,0.003,0.003
,,,,0.013,0.013
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0.002,0.002
,,,,0.002,0.002
,,,,0.019,0.019
,,,,0.002,0.002
,,,,0.044,0.044
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.003,0.003
,,,0,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.016,0.016
,,,,0,0
,,,,0,0
,,,,0.012,0.012
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.007,0.007
,,,0,0.014,0.014
,,,,0.004,0.004
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0.058,0.058
,,,,0.022,0.022
,,,,0.006,0.006
,,,,0,0
,,,,0,0
,,,,0.009,0.009
,,,,0.001,0.001
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.009,0.009
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.071,0.071
,,,,0.029,0.029
,,,,0.001,0.001
,,,0,0.001,0.001
,,,,0,0
,,,,0.012,0.012
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.003,0.003
,,,,0,0
,,,,0.005,0.005
,,,,0.002,0.002
,,,,0,0
,,,,0.026,0.026
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.008,0.008
,,,,0.006,0.006
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.006,0.006
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.007,0.007
,,,,0.002,0.002
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0.003,0.003
,,,0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.023,0.023
,,,,0,0
,,,,0,0
,,,,0.018,0.018
,,,,0.001,0.001
,,,,0.006,0.006
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,0,0.001,0.001
,,,,0,0
,,,,0.004,0.004
,,,,0,0
,,,,0.01,0.01
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.008,0.008
,,,,0,0
,,,,0.02,0.02
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.005,0.005
,,,0,0.002,0.002
,,,,0.002,0.002
,,,,0.028,0.028
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.006,0.006
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,0,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0,0
,,,0,0.049,0.049
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0,0
,,,,0.002,0.002
,,,,0.007,0.007
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,0,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.006,0.006
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.008,0.008
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.017,0.017
,,,0,0,0
,,,,0,0
,,,,0.016,0.016
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.011,0.011
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0.007,0.007
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0.012,0.012
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.004,0.004
,,,,0.07,0.07
,,,,0.004,0.004
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,0,0.002,0.002
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.012,0.012
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0.004,0.004
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,0,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.007,0.007
,,,,0.113,0.113
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.036,0.036
,,,,0.018,0.018
,,,,0.012,0.012
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0.006,0.006
,,,,0.013,0.013
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.019,0.019
,,,,0.004,0.004
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.005,0.005
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.006,0.006
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0.008,0.008
,,,,0.002,0.002
,,,,0.002,0.002
,,,,0.013,0.013
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0.011,0.011
,,,,0.009,0.009
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.01,0.01
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0.044,0.044
,,,,0.001,0.001
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.064,0.064
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.023,0.023
,,,,0,0
,,,,0,0
,,,,0.006,0.006
,,,,0,0
,,,,0.002,0.002
,,,,0,0
,,,,0.022,0.022
,,,,0,0
,,,,0.01,0.01
,,,,0.003,0.003
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.002,0.002
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.016,0.016
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.009,0.009
,,,,0.014,0.014
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0.005,0.005
,,,,0,0
,,,,0,0
,,,,0.008,0.008
,,,,0,0
,,,,0,0
,,,,0.023,0.023
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.004,0.004
,,,,0,0
,,,,0,0
,,,,0.001,0.001
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0.006,0.006
,,,,0.008,0.008
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0,0
,,,,0.001,0.001
,,,,0.002,0.002
,,,,0.007,0.007
,,,,0,0
,,,,0,0
,,,,0.003,0.003
,,,,0.019,0.019
,,,,0,0
,,,,0,
,,,,0.001,
,,,,0.004,
,,,,0.001,
,,,,0,
,,,,0,
,,,,0.002,
,,,,0.007,
,,,,0,
,,,,0,
,,,,0.002,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0.011,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0.004,
,,,,0.001,
,,,,0.001,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0.002,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0.002,
,,,,0,
,,,,0,
,,,,0.013,
,,,,0.001,
,,,,0,
,,,,0,
,,,,0,
,,,,0.024,
,,,,0.046,
,,,,0,
,,,,0,
,,,,0.005,
