,,Curriculum,,Normal,
562,,0.105,,0.112,0.112
563,,0.132,,0.226,0.226
564,,0.182,,0.756,0.756
565,,0.101,,0.217,0.217
566,,0.052,,0.163,0.163
567,,0.047,,0.264,0.264
568,,0.044,,0.19,0.19
569,,0.072,,0.147,0.147
570,,0.168,,0.328,0.328
571,,0.282,,0.095,0.095
572,,0.25,,0.276,0.276
573,,0.237,,0.219,0.219
574,,0.193,,0.121,0.121
575,,0.225,,0.189,0.189
576,,0.114,,0.076,0.076
577,,0.092,,0.141,0.141
578,,0.105,,0.148,0.148
579,,0.228,,0.203,0.203
580,,0.256,2.924,0.109,0.109
581,,0.124,,0.418,0.418
582,,0.071,,0.153,0.153
583,,0.12,,0.232,0.232
584,,0.142,,0.29,0.29
585,,0.371,,0.122,0.122
586,,0.102,,0.063,0.063
587,,0.073,,0.537,0.537
588,,0.044,,0.168,0.168
589,,0.057,,0.139,0.139
590,,0.062,,0.127,0.127
591,,0.145,,0.092,0.092
592,,0.126,,0.104,0.104
593,,0.261,,0.213,0.213
594,,0.061,,0.088,0.088
595,,0.066,,0.197,0.197
596,,0.046,,0.095,0.095
597,,0.061,,0.08,0.08
598,,0.107,,0.154,0.154
599,,0.063,,0.723,0.723
600,,0.208,2.31,0.179,0.179
601,,0.113,,0.139,0.139
602,,0.461,,0.251,0.251
603,,0.077,,0.141,0.141
604,,0.095,,0.039,0.039
605,,0.116,,0.168,0.168
606,,0.045,,0.216,0.216
607,,0.038,,0.148,0.148
608,,0.084,,0.108,0.108
609,,0.49,,0.162,0.162
610,,0.218,,0.344,0.344
611,,0.084,,0.106,0.106
612,,0.093,,0.07,0.07
613,,0.073,,0.101,0.101
614,,0.353,,0.143,0.143
615,,0.116,,0.192,0.192
616,,0.103,,0.123,0.123
617,,0.061,,0.268,0.268
618,,0.048,,0.033,0.033
619,,0.097,,0.376,0.376
620,,0.118,2.883,0.357,0.357
621,,0.076,,0.027,0.027
622,,0.054,,0.144,0.144
623,,0.071,,0.088,0.088
624,,0.04,,0.086,0.086
625,,0.061,,0.156,0.156
626,,0.286,,0.402,0.402
627,,0.066,,0.396,0.396
628,,0.036,,0.131,0.131
629,,0.071,,0.184,0.184
630,,0.106,,0.226,0.226
631,,0.129,,0.198,0.198
632,,0.107,,0.492,0.492
633,,0.066,,0.127,0.127
634,,0.071,,0.249,0.249
635,,0.127,,0.34,0.34
636,,0.061,,0.23,0.23
637,,0.037,,0.243,0.243
638,,0.044,,0.184,0.184
639,,0.023,,0.152,0.152
640,,0.106,1.638,0.115,0.115
641,,0.014,,0.461,0.461
642,,0.027,,0.111,0.111
643,,0.31,,0.188,0.188
644,,0.08,,0.329,0.329
645,,0.095,,0.315,0.315
646,,0.045,,0.078,0.078
647,,0.176,,0.115,0.115
648,,0.047,,0.227,0.227
649,,0.025,,0.125,0.125
650,,0.047,,0.137,0.137
651,,0.019,,0.332,0.332
652,,0.039,,0.184,0.184
653,,0.086,,0.089,0.089
654,,0.044,,0.081,0.081
655,,0.036,,0.075,0.075
656,,0.049,,0.424,0.424
657,,0.056,,0.236,0.236
658,,0.067,,0.482,0.482
659,,0.085,,0.135,0.135
660,,0.294,1.641,0.351,0.351
661,,0.028,,0.082,0.082
662,,0.029,,0.301,0.301
663,,0.08,,0.434,0.434
664,,0.487,,0.243,0.243
665,,0.105,,0.474,0.474
666,,0.12,,0.369,0.369
667,,0.055,,0.246,0.246
668,,0.144,,0.112,0.112
669,,0.198,,0.21,0.21
670,,0.186,,0.304,0.304
671,,0.087,,0.453,0.453
672,,0.104,,0.186,0.186
673,,0.496,,0.79,0.79
674,,0.113,,0.318,0.318
675,,0.186,,0.419,0.419
676,,0.091,,0.136,0.136
677,,0.173,,0.386,0.386
678,,0.106,,0.124,0.124
679,,0.067,,0.456,0.456
680,,0.13,2.985,0.177,0.177
681,,0.139,,0.282,0.282
682,,0.122,,0.206,0.206
683,,0.032,,0.551,0.551
684,,0.049,,0.399,0.399
685,,0.054,,0.499,0.499
686,,0.06,,0.416,0.416
687,,0.034,,0.144,0.144
688,,0.086,,0.293,0.293
689,,0.041,,0.226,0.226
690,,0.043,,0.169,0.169
691,,0.104,,0.527,0.527
692,,0.047,,0.18,0.18
693,,0.134,,0.231,0.231
694,,0.067,,0.214,0.214
695,,0.027,,0.191,0.191
696,,0.033,,0.176,0.176
697,,0.027,,0.129,0.129
698,,0.093,,0.293,0.293
699,,0.029,,0.296,0.296
700,,0.064,1.285,0.101,0.101
701,,0.171,,0.199,0.199
702,,0.035,,0.188,0.188
703,,0.007,,0.078,0.078
704,,0.095,,0.454,0.454
705,,0.048,,0.1,0.1
706,,0.059,,0.102,0.102
707,,0.023,,0.126,0.126
708,,0.053,,0.348,0.348
709,,0.12,,0.259,0.259
710,,0.128,,0.1,0.1
711,,0.031,,0.354,0.354
712,,0.006,,0.185,0.185
713,,0.036,,0.452,0.452
714,,0.013,,0.572,0.572
715,,0.225,,0.834,0.834
716,,0.302,,0.174,0.174
717,,0.026,,0.137,0.137
718,,0.071,,0.388,0.388
719,,0.009,,0.231,0.231
720,,0.27,1.728,0.192,0.192
721,,0.024,,0.28,0.28
722,,0.226,,0.211,0.211
723,,0.021,,0.22,0.22
724,,0.045,,0.151,0.151
725,,0.024,,0.169,0.169
726,,0.029,,0.153,0.153
727,,0.087,,0.084,0.084
728,,0.138,,0.061,0.061
729,,0.043,,0.093,0.093
730,,0.057,,0.043,0.043
731,,0.129,,0.368,0.368
732,,0.069,,0.418,0.418
733,,0.032,,0.173,0.173
734,,0.03,,0.068,0.068
735,,0.099,,0.075,0.075
736,,0.152,,0.541,0.541
737,,0.23,,0.055,0.055
738,,0.068,,0.23,0.23
739,,0.025,,0.228,0.228
740,,0.085,1.613,0.138,0.138
741,,0.057,,0.143,0.143
742,,0.05,,0.157,0.157
743,,0.169,,0.364,0.364
744,,0.083,,0.611,0.611
745,,0.1,,0.138,0.138
746,,0.022,,0.234,0.234
747,,0.038,,0.277,0.277
748,,0.023,,0.165,0.165
749,,0.054,,0.137,0.137
750,,0.091,,0.285,0.285
751,,0.029,,0.177,0.177
752,,0.037,,0.225,0.225
753,,0.219,,0.109,0.109
754,,0.201,,0.282,0.282
755,,0.033,,0.167,0.167
756,,0.048,,0.172,0.172
757,,0.061,,0.103,0.103
758,,0.046,,0.238,0.238
759,,0.105,,0.667,0.667
760,,0.144,1.61,0.583,0.583
761,,0.09,,0.169,0.169
762,,0.026,,0.244,0.244
763,,0.065,,0.129,0.129
764,,0.032,,0.12,0.12
765,,0.014,,0.125,0.125
766,,0.03,,0.161,0.161
767,,0.072,,0.205,0.205
768,,0.032,,0.124,0.124
769,,0.017,,0.145,0.145
770,,0.021,,0.095,0.095
771,,0.095,,0.426,0.426
772,,0.031,,0.068,0.068
773,,0.038,,0.514,0.514
774,,0.061,,0.147,0.147
775,,0.022,,0.256,0.256
776,,0.052,,0.079,0.079
777,,0.016,,0.129,0.129
778,,0.115,,0.097,0.097
779,,0.097,,0.064,0.064
780,,0.151,1.077,0.077,0.077
781,,0.018,,0.068,0.068
782,,0.095,,0.089,0.089
783,,0.19,,0.142,0.142
784,,0.046,,0.043,0.043
785,,0.077,,0.081,0.081
786,,0.097,,0.429,0.429
787,,0.027,,0.24,0.24
788,,0.073,,0.101,0.101
789,,0.037,,0.062,0.062
790,,0.074,,0.295,0.295
791,,0.236,,0.281,0.281
792,,0.101,,0.033,0.033
793,,0.324,,0.032,0.032
794,,0.133,,0.143,0.143
795,,0.032,,0.081,0.081
796,,0.249,,0.059,0.059
797,,0.18,,0.186,0.186
798,,0.459,,0.214,0.214
799,,0.062,,0.181,0.181
800,,0.072,2.582,0.809,0.809
801,,0.147,,0.341,0.341
802,,0.101,,0.06,0.06
